Data_Set	Person_DataEntry	Site_replicate	site_code	site_name	latitude	longitude	coord_precision	altitude	country	locality	site_comments	sampling_date	sampling_participants	sampling_methods	sampling_fixatives	sampling_target	habitat	access_points	sampling_comments	sampling_id	taxon_name	unclassified	taxon_rank	family	genus	specific_epithet	Subspecies	tax_id_confer	tax_id_addendum	identified_on_date	identified_by	verbatim_identification	specimen_quantity	content_description	type_status	occurrence_comments	occurrence_id	data_repository	collection	pub_DOI	pub_authors	pub_year	pub_title	pub_journal	pub_verbatim	gene	seq_specimen_identifier	accession_number	MOTU	sequence_id	seq_comments	
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			1_21B - 37 - A_37	48,2902278344767	16,4396121921584	<100m		AT		Precision Precise Province: Wien	01/11/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				HBTC0337	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			100 - Harlacken 1 b. Straßwalchen	48,0015117202594	13,2840452836832	<1km		AT		Precision Set close to Haarlacken 1 Province: Salzburg	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1293	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			11_13_21 - 29 - S_29	48,1789703137828	16,4170996370939	<100m		AT		Precision Precise Province: Wien	28/02/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				HBTC0384	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			11_7 - 36 - A_36	48,1536551787215	16,4417296397047	<100m		AT		Precision Precise Province: Wien	09/11/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							7				HBTC0336	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			11_7_20 - 32 - S_32	48,171289274111	16,4599765230223	<100m		AT		Precision Precise Province: Wien	11/04/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							2				HBTC0385	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			110 - Lichteneck 1	48,0468368681212	13,2054772377212	<1km		AT		Precision Set close to Lichteneck 1 Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1294	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			1131_1 - 33 - A_33	48,2000570035616	16,36912172498	<100m		AT		Precision Precise Province: Wien	12/10/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				HBTC0335	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			119 - Aspach 18, Innkreis	48,1865958157155	13,2965655278038	<1km		AT		Precision Set close to Aspach 18 Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1295	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			12_24 - 169 - S_169	48,1838469657397	16,345711965592	<100m		AT		Precision Precise Province: Wien	09/03/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							4				HBTC0422	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			127 - Schalchen, Hauptstraße 17	48,1206059911365	13,1594756570592	<1km		AT		Precision Set close to Hauptstraße 17, Schalchen Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1296	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			129 - Mattighofen, Neudorf 11	48,1148815774654	13,1536346665063	<1km		AT		Precision Set close to Neudorf 11, Mattighofen Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1297	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			132 - Friedburg 47, Innkreis	48,0202082784252	13,2514815262049	<1km		AT		Precision Set close to Friedburg 47 Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1298	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			133 - Friedburg Dr. Endstraßer	48,0190284471201	13,2468605962797	<10km		AT		Precision Set close to Friedburg center Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1299	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			140 - Abern 6, bei Jeging	48,0571044394606	13,1524693438414	<1km		AT		Precision Set close to Abern 6 Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1300	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			149 - Sollern 1	48,0893142373894	13,1320278581049	<1km		AT		Precision Set close to Sollern 1 Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1301	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			15 - S. Peilsteiner Straße 15	47,8168193257426	13,0227474741151	<1km		AT		Precision Set close to Peilsteiner Straße 15, Salzburg Province: Salzburg	1948					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1277	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			152 - Pfaffstätt 8	48,0789221307563	13,1425732089406	<1km		AT		Precision Set close to Pfaffstätt 8 Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1302	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch	1		16 - Anif, 34 (Martinsklause)	47,749379	13,066945	<10km		AT		Precision Set close to Anif, Salzburg Province: Salzburg	1948					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1278	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch	1		16 - Anif, 34 (Martinsklause)	47,749379	13,066945	<10km		AT		Precision Set close to Anif, Salzburg Province: Salzburg	1950					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1279	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			1651H - 45 - A_45	48,2482498663623	16,4400523386589	<100m		AT		Precision Precise Province: Wien	08/11/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				HBTC0338	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			172 - Haiden 8, bei Braunau	48,2503906150162	13,0469231294746	<1km		AT		Precision Set close to Auf der Haiden 8, Braunau Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1303	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch	2		173 - Lach 8 bei Braunau am Inn	48,2361989044954	13,0544934386146	<1km		AT		Precision Set close to Lach 8 Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1304	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch	2		173 - Lach 8 bei Braunau am Inn	48,2361989044954	13,0544934386146	<1km		AT		Precision Set close to Lach 8 Province: Oberösterreich	10/06/1957					Aquatic, Freshwater, Subsurface, Aquifer	Well	Legator: G. Priesel-Dichtl.		Proasellus slavus salisburgensis		Subspecies	Asellidae	Proasellus	slavus	salisburgensis						7			4 males, 2 females, 1 juvenile.	STYA1327	Literature		http://www.jstor.org/stable/41768681.		1958			Strouhal H (1958) Asellus (Proasellus) im nördlichen Österreich (Isopoda, Asellota). Annalen des Naturhistorischen Museums in Wien: 263–282. Available from: http://www.jstor.org/stable/41768681.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			177 - Burgkirchen 10	48,0426527634146	13,0348924672269	<1km		AT		Precision Set close to Burgkirchen 10 Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1305	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			179 - Mauerkirchen 29	48,1911642279306	13,1354832350119	<10km		AT		Precision Set close to Mauerkirchen center Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1306	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			1853_2 - 47 - A_47	48,2741157828226	16,446390961326	<100m		AT		Precision Precise Province: Wien	02/11/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				HBTC0339	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			186 - Pischelsdorf, Schule	48,129680155028	13,086754753836	<1km		AT		Precision Set close to Pischelsdorf, Volksschule Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1307	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			187 - Pischelsdorf 19	48,130129456132	13,0854263618067	<1km		AT		Precision Set close to Pischelsdorf 19 Province: Oberösterreich	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1308	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny			1873.002 - Wolfsthal Marchfeld	48,14087	17,05415	<100m		AT		Precision Precise Province: Niederösterreich	26/08/2024					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							2			Sequence from Lyon	STYA1493	Project: Stygofauna Austriaca - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			1925_004 - 48 - S_48	48,2027027220419	16,4335164585211	<100m		AT		Precision Precise Province: Wien	29/03/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				HBTC0386	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			1925_006 - 49 - S_49	48,1924612543305	16,4313315503006	<100m		AT		Precision Precise Province: Wien	11/04/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							2				HBTC0387	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			1929_108 - 108 - A_108	48,2175172773396	16,4011315092573	<100m		AT		Precision Precise Province: Wien	17/11/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				HBTC0362	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			1929_108 - 108 - S_108	48,2175172773396	16,4011315092573	<100m		AT		Precision Precise Province: Wien	15/03/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							3				HBTC0407	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			1933_016 - 53 - A_53	48,2540010992817	16,3666182568225	<100m		AT		Precision Precise Province: Wien	01/12/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							4				HBTC0340	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			1933_016 - 53 - S_53	48,2540010992817	16,3666182568225	<100m		AT		Precision Precise Province: Wien	29/03/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							4				HBTC0388	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			2 - Salzburg, Straubinger Str. 4	47,7991237209588	13,0216873397363	<1km		AT		Precision Set close to Straubinger Straße 4, Salzburg Province: Salzburg	1948					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1276	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			21_101 - 60 - A_60	48,2638382240085	16,4312209072207	<100m		AT		Precision Precise Province: Wien	02/11/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				HBTC0344	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			21_29_10 - 56 - A_56	48,2691898502184	16,3795702252509	<100m		AT		Precision Precise Province: Wien	18/10/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				HBTC0341	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			21_34_EBVB09_1 - 5 - A_5	48,2573416459701	16,4233087912016	<100m		AT		Precision Precise Province: Wien	08/11/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							4				HBTC0330	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			21_34_EBVB09_1 - 5 - S_5	48,2573416459701	16,4233087912016	<100m		AT		Precision Precise Province: Wien	05/04/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							2				HBTC0381	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			21_34_WS40_1 - 57 - A_57	48,2630158467826	16,4128642143656	<100m		AT		Precision Precise Province: Wien	02/11/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							4				HBTC0342	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			21_5_5_1 - 59 - A_59	48,3049437284829	16,4344105444552	<100m		AT		Precision Precise Province: Wien	02/11/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							4				HBTC0343	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			21_5_5_1 - 59 - S_59	48,3049437284829	16,4344105444552	<100m		AT		Precision Precise Province: Wien	05/04/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							2				HBTC0389	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			21_72 - 62 - A_62	48,284922625503	16,4019939372181	<100m		AT		Precision Precise Province: Wien	18/10/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							3				HBTC0345	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			21_72 - 62 - S_62	48,284922625503	16,4019939372181	<100m		AT		Precision Precise Province: Wien	05/04/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							7				HBTC0390	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			216 - Kuchl, Garnai 19	47,6522836316483	13,1291793386727	<1km		AT		Precision Set close to Garnei 19, Kuchl Province: Salzburg	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1309	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			217 - Kuchl 45	47,6271905876858	13,1456636162465	<10km		AT		Precision Set close to Kuchl Gemeindezentrum Province: Salzburg	1952					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1310	Literature			Priesel-Dichtl G	1959	Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland.	Archiv fur Hydrobiologie	Priesel-Dichtl G (1959) Die Grundwasserfauna im Salzburger Becken und im anschließenden Alpenvorland. Archiv fur Hydrobiologie 55: 281–370.							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			22_100E - 77 - S_77	48,2202267507361	16,4627523895752	<100m		AT		Precision Precise Province: Wien	12/04/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							3				HBTC0395	Project: Heat below the city - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			22_120 - 78 - S_78	48,24004169146	16,470071455629	<100m		AT		Precision Precise Province: Wien	12/04/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							4				HBTC0396	Project: Heat below the city - University of Vienna														
